"logFC","logCPM","LR","PValue","FDR"
"K11145",-1.60404916742684,3.19257370412777,28.2124876755718,1.08700991208756e-07,4.51807905602679e-06
"K09834",-1.72647432047832,4.44346839342221,28.0924650391206,1.15655274895623e-07,4.77303577743e-06
"K07357",-0.922987691202622,5.21334081966559,28.0283594388833,1.19550547912199e-07,4.89904674859918e-06
"K03721",1.03791408650789,3.2021075681605,28.0100319463521,1.20688164406562e-07,4.91107992085163e-06
"K02097",-1.70297184626734,3.59001745912222,27.855556277158,1.3071814005439e-07,5.28228372900344e-06
"K06926",-0.80872647355969,3.5740253549593,27.8333228602164,1.32228937406386e-07,5.3023509459173e-06
"K02288",-1.61969673757483,4.01945073030781,27.8215330623846,1.33037160698389e-07,5.3023509459173e-06
"K00464",-1.37573453768488,5.01780633557107,27.7965952294524,1.34763066401781e-07,5.33460056729228e-06
"K09012",-1.693758515278,3.78898370717058,27.6876775870788,1.42567973019126e-07,5.5889875587822e-06
"K05573",-1.42338578790579,5.04089849903255,27.6803322224163,1.43110353369745e-07,5.5889875587822e-06
"K14518",-1.6225010205695,2.57103192596145,27.534869929506,1.54287598752342e-07,5.9853302475992e-06
"K05601",-1.58686763966598,2.58788288813894,27.5104340041222,1.56249281113114e-07,6.02128852183582e-06
"K02484",0.195919461803005,8.27369326210282,27.455987788245,1.60710515617154e-07,6.15246375247513e-06
"K03281",-0.651678578003516,6.90946640625631,27.408242214655,1.64727651795633e-07,6.24010487406859e-06
"K05369",-1.7609435754993,2.68859609293571,27.403354148607,1.65144552432817e-07,6.24010487406859e-06
"K05580",-1.54537945911912,3.86911979810533,27.3816632050693,1.67007356666155e-07,6.26977940929264e-06
"K17061",1.97936578426712,2.08770106028583,27.3367118362447,1.70935064274491e-07,6.3760970449568e-06
"K05585",-1.70930738955173,3.31702656408395,27.2350177077886,1.80165819449545e-07,6.67761084953439e-06
"K12976",1.91867467876983,0.802097138293215,27.1936906752113,1.84058346780497e-07,6.77870582225133e-06
"K05574",-1.44032602047181,3.11430587957126,27.1748505921768,1.85860726951371e-07,6.80203503226431e-06
"K02660",-1.00752353990234,7.51302641733819,27.1074917135652,1.92450679875408e-07,6.99919066371874e-06
"K14475",0.899044481075676,1.6541742847792,27.0793745733416,1.95270288255306e-07,7.03459510050035e-06
"K06873",-0.978471488806098,4.9483590662483,27.073723428618,1.9584196705294e-07,7.03459510050035e-06
"K19142",-1.40237298224127,3.7161285341925,27.009567509722,2.02450903983981e-07,7.22737306921953e-06
"K02717",-1.64178842436013,3.3599765386618,26.9724226331077,2.06379036747113e-07,7.32268057824055e-06
"K00702",0.45061071114348,3.8789301891246,26.9548860003458,2.08260021422146e-07,7.34463675548769e-06
"K02657",-1.29003459888386,6.16438397037382,26.9058917542678,2.13606722456606e-07,7.48781637334331e-06
"K07402",0.142477036003007,8.86766653037645,26.8592941120418,2.18819487375061e-07,7.62461435350587e-06
"K08698",-1.44547061008735,5.12739230887653,26.8047303600061,2.25085694889391e-07,7.79627177715099e-06
"K08696",-1.67016425206643,4.3429353348764,26.7664792150776,2.29585469289496e-07,7.90507601062472e-06
"K19246",-0.979212479990384,4.97329664456985,26.739845337179,2.32771757053343e-07,7.96764031937296e-06
"K08903",-1.66532806685622,3.08111298169356,26.6665868699462,2.41766372619205e-07,8.19019391537209e-06
